[5545141.9448; 7422077.6987];175.1981563
[5545141.9043; 7422077.8996];175.9785077
[5545141.8537; 7422078.1046];176.0090409
[5545140.4046; 7422079.3047];176.3432874
[5545138.5666; 7422079.4269];177.1821923
[5545137.7245; 7422078.2999];177.9550514
[5545138.7878; 7422075.2207];176.8024794
[5545141.1868; 7422072.032000001];175.9089308
[5545144.2041; 7422069.1196];176.0420409
[5545147.9357; 7422066.6798];175.6120437
[5545151.5084; 7422063.0522];175.1015409
[5545155.406; 7422059.3771];174.8707672
[5545159.5538; 7422056.2136];175.0001955
[5545163.4938; 7422053.3902];174.5846927
[5545166.5282; 7422050.9283];174.2497287
[5545169.6525; 7422047.6074];174.4436749
[5545172.97; 7422043.9545];174.458985
[5545176.6748; 7422040.6398];174.2775441
[5545179.6238; 7422037.3439];175.2293486
[5545182.4029; 7422034.2654];175.1133004
[5545185.0186; 7422030.9227];175.4344563
[5545186.9349; 7422027.2033];175.5039769
[5545189.1908; 7422023.331];175.4762332
[5545191.9783; 7422019.5838];183.8754283
[5545195.5862; 7422016.2215];184.1761283
[5545199.0562; 7422012.7842];185.8245923
[5545202.0261; 7422008.8277];187.594932
[5545204.2928; 7422004.7223];187.2123243
[5545206.0084; 7422000.2637];191.622548
[5545208.7641; 7421996.5574];191.173832
[5545211.8059; 7421993.0599];190.8236923
[5545215.24; 7421989.6455];190.340932
[5545219.4532; 7421987.012999999];189.97068
[5545223.6505; 7421984.3519];189.6071723
[5545227.4934; 7421981.3369];189.3353923
[5545230.9834; 7421978.0498];188.9489883
[5545234.1463; 7421974.7256];188.6423883
[5545237.0296; 7421971.0761];188.2256206
[5545240.2592; 7421967.2177];187.8149437
[5545243.2617; 7421963.2861];187.4288
[5545246.1091; 7421959.2231];187.1033077
[5545248.5997; 7421954.926];186.8163486
[5545251.7053; 7421950.8245];186.5726077
[5545255.0005; 7421946.872];186.4260526
[5545257.5919; 7421942.6852];186.152168
[5545259.7494; 7421938.8586];186.1771077
[5545188.8199; 7422174.1226];-523.9904397
[5545263.2836; 7421929.5321];185.7183206
[5545262.1591; 7421926.6009];185.701736
[5545259.5638; 7421925.4038];185.579064
[5545256.8332; 7421926.3515];185.5705603
[5545254.2845; 7421929.3588];185.6026526
[5545250.4461; 7421932.2254];185.408568
[5545246.3357; 7421934.8949];185.3369283
[5545242.0015; 7421936.8283];185.116764
[5545237.9789; 7421939.0479999995];184.9157486
[5545234.1911; 7421941.6473];181.397604
[5545231.1945; 7421944.8471];177.4340563
[5545228.7002; 7421948.6618];176.8261563
[5545225.7067; 7421951.9893];176.8935591
[5545222.6163; 7421955.3568];177.8110154
[5545219.1448; 7421958.2908];177.2942
[5545215.3903; 7421960.4685];177.8609308
[5545212.2870000005; 7421962.4931];177.7494049
[5545210.5559; 7421964.6089];178.5223474
[5545209.1929; 7421966.3745];179.3193717
[5545208.0773; 7421967.9531];179.4896563
[5545204.7899; 7421972.8477];179.8763563
[5545203.882; 7421972.7646];180.4106514
[5545201.7639; 7421972.6505];178.0319077
[5545196.7425; 7421977.4274];178.3773154
[5545194.0839; 7421980.5156];178.6940603
[5545191.1502; 7421983.7625];190.903496
[5545188.029; 7421987.0369];191.4860717
[5545185.7342; 7421990.8264];191.9271283
[5545183.15; 7421994.3833];192.298484
[5545180.3918; 7421998.0692];192.626164
[5545177.5617; 7422001.6295];193.033752
[5545174.2702; 7422004.6918];193.234148
[5545171.2538; 7422007.2349];193.4573157
[5545167.5047; 7422013.732000001];194.342752
[5545165.7431; 7422017.9061];194.751868
[5545163.3705; 7422021.8266];195.190676
[5545160.4754; 7422025.5612];195.597128
[5545154.2959; 7422032.7585];196.256984
[5545148.2208; 7422039.3315];196.674356
[5545145.2878; 7422042.5868];196.713516
[5545143.6135; 7422045.9317];196.100652
[5545142.2275; 7422049.5533];194.203608
[5545139.8915; 7422052.2601];187.975132
[5545136.056; 7422053.6504];188.419652
[5545132.5071; 7422052.7282];190.2508043
[5545129.9334; 7422051.7732];191.8138717
[5545128.319; 7422051.0028];193.52092
[5545127.1779; 7422050.3946];194.042676
[5545126.8889; 7422050.0954];195.865328
[5545126.9525; 7422049.6695];196.353812
[5545126.8619; 7422049.4239];196.650508
[5545126.8104; 7422049.4786];196.696232
[5545126.7637; 7422049.5515];196.791432
[5545126.75; 7422049.5542];196.742108
[5545126.7297; 7422049.5638];196.853536
[5545126.7237; 7422049.5682];196.755788
[5545126.7159; 7422049.5652];196.510996
[5545126.7123; 7422049.5675];196.727004
[5545126.6947; 7422049.569];196.624672
[5545126.6894; 7422049.5688];196.5197
[5545126.6827; 7422049.5755];196.505892
[5545126.6683; 7422049.5758];196.514888
[5545126.6554; 7422049.569];196.823636
